Ativo,Preço Atual,Preço Graham,Preço Bazin,Recomendação
PETR3,R$ 43.86,R$ 66.39,R$ 62.66,Compra
PETR4,R$ 40.65,R$ 66.39,R$ 62.29,Compra
VALE3,R$ 58.92,R$ 104.83,R$ 60.52,Compra
ITUB3,R$ 29.23,R$ 41.31,R$ 30.21,Compra
VBBR3,R$ 20.97,R$ 57.96,R$ 21.68,Compra
KLBN4,R$ 4.59,R$ 3.47,R$ 3.15,Venda
BBAS3,R$ 25.22,R$ 65.60,R$ 30.42,Compra
SANB3,R$ 12.14,R$ 20.28,R$ 9.62,Compra
BBDC3,R$ 11.46,R$ 22.66,R$ 17.22,Compra
TAEE11,R$ 34.31,R$ 43.48,R$ 43.97,Compra
ITSA3,R$ 9.60,R$ 15.21,R$ 8.19,Compra
IFCM3,R$ 0.11,R$ 0.00,R$ 0.00,Venda
BBDC4,R$ 12.61,R$ 22.66,R$ 18.88,Compra
PNVL3,R$ 9.66,R$ 11.11,R$ 4.54,Compra
14 ativos,R$ nan,R$ 0.00,R$ 0.00,Manter
