Ativo,Qtd,"Preço médio","Total investido","Preço atual","Total atual",Ganho,"% Ganho"
PETR3,16,"R$ 39,70","R$ 635,12","R$ 43,86","R$ 701,76","R$ 66,64","10,49 %"
PETR4,10,"R$ 37,61","R$ 376,13","R$ 40,65","R$ 406,50","R$ 30,37","8,07 %"
VALE3,20,"R$ 57,86","R$ 1.157,25","R$ 58,92","R$ 1.178,40","R$ 21,15","1,83 %"
ITUB3,12,"R$ 28,77","R$ 345,28","R$ 29,23","R$ 350,76","R$ 5,48","1,59 %"
VBBR3,10,"R$ 20,44","R$ 204,37","R$ 20,97","R$ 209,70","R$ 5,33","2,61 %"
KLBN4,11,"R$ 4,14","R$ 45,56","R$ 4,59","R$ 50,49","R$ 4,93","10,82 %"
BBAS3,35,"R$ 25,11","R$ 878,79","R$ 25,22","R$ 882,70","R$ 3,91","0,44 %"
SANB3,15,"R$ 11,92","R$ 178,84","R$ 12,14","R$ 182,10","R$ 3,26","1,82 %"
BBDC3,11,"R$ 11,22","R$ 123,44","R$ 11,46","R$ 126,06","R$ 2,62","2,12 %"
TAEE11,15,"R$ 34,16","R$ 512,47","R$ 34,31","R$ 514,65","R$ 2,18","0,43 %"
ITSA3,10,"R$ 9,46","R$ 94,64","R$ 9,60","R$ 96,00","R$ 1,36","1,44 %"
IFCM3,30,"R$ 0,10","R$ 3,01","R$ 0,11","R$ 3,30","R$ 0,29","9,63 %"
BBDC4,1,"R$ 13,78","R$ 13,78","R$ 12,61","R$ 12,61","-R$ 1,17","-8,49 %"
PNVL3,10,"R$ 9,87","R$ 98,70","R$ 9,66","R$ 96,60","-R$ 2,10","-2,13 %"
"14 ativos",,Total:,"R$ 4.667,38",,"R$ 4.811,63","R$ 144,25","3.09 %"
